task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__img
0,2015-07-13T18:11:20.318767,311,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138712849.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138712849.jpg
0,2015-07-13T18:11:20.324254,312,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138717317.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138717317.jpg
0,2015-07-13T18:11:20.329663,313,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138724725.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138724725.jpg
0,2015-07-13T18:11:20.335442,314,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138739580.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138739580.jpg
0,2015-07-13T18:11:20.341411,315,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138746772.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138746772.jpg
0,2015-07-13T18:11:20.347305,316,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138748936.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138748936.jpg
0,2015-07-13T18:11:20.352804,317,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138776965.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138776965.jpg
0,2015-07-13T18:11:20.358171,318,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138777289.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138777289.jpg
0,2015-07-13T18:11:20.364293,319,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138777573.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138777573.jpg
0,2015-07-13T18:11:20.369589,320,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138783005.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138783005.jpg
0,2015-07-13T18:11:20.374938,321,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138799659.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138799659.jpg
0,2015-07-13T18:11:20.380592,322,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138811809.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138811809.jpg
0,2015-07-13T18:11:20.386059,323,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138812137.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138812137.jpg
0,2015-07-13T18:11:20.392643,324,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138815395.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138815395.jpg
0,2015-07-13T18:11:20.398024,325,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138844800.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138844800.jpg
0,2015-07-13T18:11:20.403690,326,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138884827.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138884827.jpg
